test_label,test_seq,test_seg,train_label,train_seq,costs
can you go fetch,63,2500,eat,21,"[0.005547768698096291, 0.0056470919342154705, 0.005872901595061087, 0.006120647493560639, 0.0058274660947607, 0.006162621661931293, 0.00676169548601202, 0.007468949254305325, 0.008030303975688062, 0.008520339254339294, 0.008136906016079162, 0.007849049853396028, 0.007584436656577093, 0.007030521331956987]"
can you go fetch,63,2500,eat,21,"[0.004259668658462884, 0.004135758551666374, 0.004014919576734835, 0.004442879459859904, 0.00426630308613008, 0.004784576806996293, 0.005456219748777051, 0.006909703646090577, 0.008107655996428043, 0.00856456479664725, 0.008592731159951043, 0.008535109405764574, 0.00871885819244675, 0.008694840486899016]"
can you go fetch,63,2500,eat,23,"[0.0046773241208427465, 0.004420900568037446, 0.0044229362936816854, 0.004744406451043857, 0.004934179164490124, 0.005672055780432793, 0.0065105025002974125, 0.007057538256036314, 0.007845552780876095, 0.008574864437012341, 0.00823612390890562, 0.00824255436404422, 0.007845618923973674, 0.007133763160629233]"
can you go fetch,63,2500,eat,23,"[0.005628013389072718, 0.0058415823755621635, 0.006011974420615479, 0.006274270395701005, 0.006086193280380625, 0.006617063172781663, 0.007041110119810174, 0.007395040285069439, 0.008351596914535585, 0.008836693068370222, 0.008572235281538084, 0.008330565864456171, 0.007844328147268763, 0.007063530107485971]"
can you go fetch,63,2500,eat,21,"[0.005410030788493561, 0.0065789314974877885, 0.006819693104499728, 0.007563518073459473, 0.00719882514816292, 0.007550508011831262, 0.00845682878483046, 0.009844332802209498, 0.010148405448205187, 0.009930244949219746, 0.009943675711795523, 0.010378597978947756, 0.010785735629415049, 0.010359163503038064]"
can you go fetch,63,2500,eat,18,"[0.004682837331173796, 0.004549261008328306, 0.004387890525737274, 0.0042707157223956915, 0.004939203077114191, 0.00580108238475557, 0.006650687687774052, 0.007135795886886049, 0.007486454464195013, 0.0075546726116592295, 0.008067976304731769, 0.008405391042229156, 0.008225972924147574, 0.008219980348511007, 0.007926221621152403]"
can you go fetch,63,2500,fetch,17,"[0.005246145531674884, 0.006293806772277627, 0.007805537440245558, 0.009017145775774126, 0.008590158535597463, 0.008254463606317626, 0.007851574211257761, 0.007351644370277482, 0.00677794113130238, 0.005471465415775266, 0.006413642704315355, 0.007151921306909108, 0.006768617509041197, 0.005289297767305673, 0.0033560547333436087, 0.002551085616160037]"
can you go fetch,63,2500,fetch,17,"[0.006605277424637244, 0.0075682676015265, 0.00909159821895071, 0.009923070947136223, 0.009836194451957403, 0.009274292762722876, 0.008024057185902322, 0.007448707490884221, 0.007271846224740602, 0.0061084795196488205, 0.007182245567773892, 0.007508579120975536, 0.0069584995576472885, 0.005629453193766653, 0.0037402223159408964, 0.002968867076724845]"
can you go fetch,63,2500,fetch,15,"[0.006130572343275028, 0.008434204816406169, 0.0094782098748036, 0.009952256032705102, 0.009837806478280845, 0.0091091394541934, 0.00790275789251493, 0.007079812068280836, 0.006697471599049998, 0.004981842553704033, 0.005816450322712307, 0.006377650297727285, 0.00612471426239547, 0.005344980349637906, 0.0033917318924459447, 0.002714592105464005]"
can you go fetch,63,2500,fetch,15,"[0.006065640123948287, 0.008060765089461538, 0.009369253554792352, 0.009849015221173612, 0.010023047637561773, 0.009382770712398921, 0.007926714519680796, 0.007175843837776519, 0.006613729439617104, 0.005849380946738247, 0.006217602695071814, 0.006971305339592567, 0.00734388190771094, 0.00558696311626633, 0.0043059133635394075, 0.0034061136663934215]"
can you go fetch,63,2500,fetch,17,"[0.007235134755499665, 0.008690135331931532, 0.009769779602611573, 0.010561517470646186, 0.00998247004229346, 0.008569681322842379, 0.007226018590132825, 0.006788793087853762, 0.006696171849572261, 0.0051404973271179, 0.0063097274705248285, 0.007234355067251325, 0.006708980498078616, 0.004832202765100537, 0.0033097983207506752, 0.002777957088834614]"
can you go fetch,63,2500,fetch,17,"[0.005681916895170336, 0.006296388821958624, 0.00774543245994246, 0.00830844236714827, 0.008147027136941484, 0.0076121014948272265, 0.006038731599690098, 0.005510314939891923, 0.005303515101941044, 0.004428110294142447, 0.005700380083275787, 0.006010491063746058, 0.004823762079339169, 0.003246060255573652, 0.0021513542426791978, 0.0017171169512557006]"
can you go fetch,63,2500,fetch,15,"[0.0059024605215140195, 0.007351821328229713, 0.008681466054395081, 0.008962917830528928, 0.009103403521088248, 0.008506519467797468, 0.007278288276342363, 0.00628223394281325, 0.005511493297454384, 0.00487241737460391, 0.005326409473302011, 0.006261953359198909, 0.005798681855459731, 0.005034197852678787, 0.0039680114585262626, 0.003142652861773132]"
can you go fetch,63,2500,fetch,15,"[0.006446199136278933, 0.007815070710981179, 0.0088465916598311, 0.009411567370373382, 0.00902688082717867, 0.008572919514282929, 0.006885271900126588, 0.006186484316789801, 0.005894720775441864, 0.004674585450749058, 0.005585483910405105, 0.006279721392447061, 0.006355301185717343, 0.005087704591124687, 0.003316348362582233, 0.002776954621182211]"
can you go fetch,63,2500,fetch,13,"[0.005743083627123617, 0.007854456790279959, 0.009612853127597572, 0.009852272245722783, 0.009807846794759665, 0.009483235706313764, 0.00806063755908576, 0.007165653274213603, 0.006203789670699041, 0.005583124441121532, 0.0055669585719824895, 0.005957056008289026, 0.006697958414921417, 0.006575506771433341, 0.005164845889092611, 0.00417113870068341, 0.002942572427000685]"
can you go fetch,63,2500,fetch,17,"[0.00477244905403343, 0.005610538633778515, 0.006670441396729771, 0.007070750244749676, 0.007402042369955475, 0.007152901360911388, 0.006385045826080708, 0.005853399818664578, 0.005267945603218782, 0.004496830317775154, 0.005173930564170387, 0.005908742021217792, 0.005379789805591523, 0.00509463298311366, 0.004559379836901709, 0.0035756987159571495]"
can you go fetch,63,2500,fetch,17,"[0.0061661965615252765, 0.007123261613316703, 0.008227115360941162, 0.008894653104218456, 0.008335362983875227, 0.0074304718881300635, 0.006117804852250419, 0.005576323771022564, 0.005310441674475308, 0.0043253395992174275, 0.005174473551089236, 0.00592892626178775, 0.005572079696264949, 0.005014249958276595, 0.003980206258543872, 0.003054899504538215]"
can you go fetch,63,2500,fetch,13,"[0.0037250224268598605, 0.005606485580740514, 0.0071777009289835615, 0.0074664373211503635, 0.007237225728898656, 0.0071931507437974235, 0.007186261013119661, 0.0067790968507427125, 0.006161024018316496, 0.005230554588022325, 0.005490607844764662, 0.00646965097179053, 0.007049400863854796, 0.006423633134737257, 0.004880340635044816, 0.004203149200788488, 0.0029283338353550637]"
can you go fetch,63,2500,fetch,18,"[0.005704720729931463, 0.006601712955656819, 0.008227195766505055, 0.008622654614772114, 0.008215077549926219, 0.006737704640240205, 0.00564242022379312, 0.00542153439995761, 0.00515151243760811, 0.0045761834259641955, 0.005674322482762836, 0.005500710354443094, 0.005151341126544911, 0.004126126280425974, 0.002418276094341263]"
can you go fetch,63,2500,fetch,31,"[0.006613515692167141, 0.006743380710029789, 0.00786369320291265, 0.007556486194844261, 0.007360956123083891, 0.007247048661018983, 0.007211921446667385, 0.006936943523016859, 0.005438231038679555, 0.004928083695427593, 0.00427780635896385]"
can you go fetch,63,2500,fetch,15,"[0.005354154349925548, 0.007052672112561161, 0.008833505943824534, 0.008982233677124156, 0.008942624180351378, 0.009051195708314445, 0.007963730323364566, 0.007043613623402422, 0.006372368893532876, 0.005442009238556785, 0.006439666003915704, 0.00726068859004562, 0.006720492542336417, 0.004934590100142922, 0.0034324242607482384, 0.0029508295613749494]"
can you go fetch,63,2500,fetch,15,"[0.004805256111859979, 0.006643986829503494, 0.0074832581091170336, 0.0076086461093057755, 0.007589786675362627, 0.00755570024628391, 0.006272283546682625, 0.005828078862799761, 0.005512452418656529, 0.005094137480247303, 0.0056003377067677254, 0.00635875510281774, 0.005677245159959695, 0.004872516938547725, 0.004045203847836687, 0.0033691043607321633]"
can you go fetch,63,2500,fetch,18,"[0.00541201837355049, 0.005851104972020099, 0.007170811976346713, 0.008015626372979028, 0.008348611201467373, 0.008065612531603742, 0.007527114826615722, 0.007185049170887676, 0.006882989407841035, 0.006121001669698972, 0.007210624576926965, 0.006975148726683296, 0.006484376557842302, 0.005692496629658832, 0.003702696524169784]"
can you go fetch,63,2500,fetch,15,"[0.005955242032985242, 0.007807190017000887, 0.008671002932620226, 0.009381915127192183, 0.009617120039095272, 0.009246607861558032, 0.008005899384644655, 0.007572983533239734, 0.007348625056775667, 0.006084097049180345, 0.006651663832630953, 0.007146999685022234, 0.006823282028301684, 0.00615516533696158, 0.004174881105667646, 0.0033706808656017904]"
can you go fetch,63,2500,fetch,17,"[0.005388473064215236, 0.005958593029325162, 0.0069310477124335445, 0.007526120164609292, 0.0074338146214863845, 0.006998473601716848, 0.006016116797987653, 0.005421731798805762, 0.0052593433678239454, 0.004386787214369751, 0.0057535812053310445, 0.0066184266955873535, 0.005667339783838034, 0.004118710450689785, 0.003173601392426457, 0.0025077992659750005]"
can you go fetch,63,2500,fetch,15,"[0.00543021900655423, 0.006908584079493507, 0.007913960884688891, 0.008390699466697167, 0.00816716804860007, 0.007837270550568968, 0.006728486343398066, 0.0060395872914678255, 0.0054065402537128845, 0.004139145785787357, 0.004554281351864402, 0.00538462436397564, 0.005684576499598681, 0.00417378661584283, 0.0034130999731225168, 0.003055050768011114]"
can you go fetch,63,2500,lay,57,"[0.006206853419871683, 0.006086887901688657]"
can you go fetch,63,2500,lay,37,"[0.005371505868113691, 0.00549966062520684, 0.005233638749621224, 0.005689320385667043, 0.006316726297856444, 0.006270699124927762, 0.005225658654040743, 0.005069281469903322, 0.005137051712344706]"
can you go fetch,63,2500,lay,44,"[0.005638234127478489, 0.006274469743214972, 0.006513251028749206, 0.006322291878014346, 0.00590938588837673, 0.005786115871655848, 0.005336762184692805]"
can you go fetch,63,2500,lay,44,"[0.00541141321902995, 0.00587246278606068, 0.006174749587242425, 0.006194538022465993, 0.005753347973184642, 0.005669365584638695, 0.00541298629937774]"
can you go fetch,63,2500,lay,47,"[0.005914394598573625, 0.006365093112181615, 0.0065632815754981975, 0.006285342139273209, 0.006283343637926218, 0.006104693241901716]"
can you go fetch,63,2500,lay,52,"[0.005730810594928761, 0.005617151664901538, 0.005505648817620796, 0.005584544549988921]"
can you go fetch,63,2500,lay,65,[0.005441967150928907]
can you go fetch,63,2500,lay,63,[0.005320674180842306]
can you go fetch,63,2500,lay,45,"[0.004986916805602493, 0.005607836656991327, 0.005814921705750285, 0.005238872089994558, 0.005258272554373388, 0.005217976996932465]"
can you go fetch,63,2500,lay,61,[0.005455168526673827]
can you go fetch,63,2500,lay,66,[0.006216849983631184]
can you go fetch,63,2500,lay,39,"[0.006494288358326696, 0.006288234616206603, 0.006300791166116177, 0.006958234542578567, 0.0072333527698908735, 0.006246154274828797, 0.005730300288760315, 0.005587470397334515]"
can you go fetch,63,2500,lay,69,[0.005523099389830049]
can you go fetch,63,2500,lay,41,"[0.005426736683943055, 0.005556789216972507, 0.00585260043188181, 0.006465793719477164, 0.005977176340787992, 0.0054790508044974, 0.0052648407642809265, 0.005183831577206887]"
can you go fetch,63,2500,lay,47,"[0.005019200400816403, 0.005599723359949245, 0.005604807553941757, 0.005391129716271798, 0.005421823376159373, 0.005147149710576753]"
can you go fetch,63,2500,lay,45,"[0.005499157984743235, 0.005986787991804632, 0.00614282035727202, 0.0060163381632800895, 0.005829275354448494, 0.00552689333834153]"
can you go fetch,63,2500,lay,57,"[0.005796497199857348, 0.005865475982988747]"
can you go fetch,63,2500,lay,42,"[0.005456580643754649, 0.005645596747555675, 0.006195975257094625, 0.0066535385847720455, 0.005877573949599717, 0.005581167720588595, 0.005215221566334284]"
can you go fetch,63,2500,lay,58,"[0.005770994668850144, 0.0058662573415205884]"
can you go fetch,63,2500,lay,55,"[0.005663826789756716, 0.005782167546645685, 0.005583865614942773]"
can you go fetch,63,2500,name,20,"[0.008198895588154911, 0.008824461367240447, 0.00912342057014882, 0.009052402971645137, 0.007499357297617573, 0.006568724208152766, 0.0056360271553053485, 0.0057546063854292204, 0.006157280982433666, 0.005570615759557032, 0.006327917933204835, 0.005726467391826496, 0.005621298901435911, 0.005827693847662016, 0.004316314386769609]"
can you go fetch,63,2500,name,23,"[0.007569196485485936, 0.008483792841172899, 0.008728612897500272, 0.008439133509138958, 0.007531978394557613, 0.006552649413210639, 0.005959083698146548, 0.00600871911832443, 0.006908446076671836, 0.006341176853333905, 0.006162322153465876, 0.005938419113800823, 0.006256286957653688, 0.006259665116285757]"
can you go fetch,63,2500,name,34,"[0.008461429830868918, 0.008284175197841345, 0.008380807311779976, 0.008574984103264793, 0.008522351618637835, 0.008105333237978135, 0.007404575551661592, 0.006688435683411364, 0.006403122295087322, 0.0057767489142589445]"
can you go fetch,63,2500,name,21,"[0.011234829906164555, 0.01235503279349404, 0.012905968466143431, 0.01085454276820904, 0.009651421687779651, 0.008674351132684385, 0.00804407973358601, 0.008140587218104303, 0.00847949185109432, 0.00787173471438004, 0.008549547391647063, 0.007870034103008273, 0.007796539719929123, 0.007376066209759068]"
can you go fetch,63,2500,name,31,"[0.006444239661396209, 0.006410113963595638, 0.006209867815414087, 0.00625298436350903, 0.005962334704623529, 0.006040828177716662, 0.006225557218480613, 0.00647870922528617, 0.005997147881778901, 0.005481218942020658, 0.005302804380482147]"
can you go fetch,63,2500,name,20,"[0.007154396333454277, 0.0076062410837832856, 0.0076921817743303336, 0.007687181614229957, 0.006354078866635951, 0.005534448171126633, 0.004696277484539621, 0.004516424231787997, 0.004845512741329614, 0.005071786366959022, 0.005466088881982661, 0.0048505424848380605, 0.004566899597930862, 0.004790532274718642, 0.004054399637711978]"
can you go fetch,63,2500,name,28,"[0.009814363889006828, 0.0084599627888227, 0.008225833329249506, 0.007989044196668805, 0.007674794126186589, 0.0072105124979884565, 0.0069318685995917746, 0.007201974233331043, 0.007007900066245776, 0.005879119382183592, 0.005348619285968496, 0.005174542785332097]"
can you go fetch,63,2500,name,25,"[0.006937072908108719, 0.007651705620971685, 0.00744356133485036, 0.007316785337305061, 0.00636389299093693, 0.005607595273484929, 0.00495020883565799, 0.00523682372817905, 0.005747918962082634, 0.005374424119080401, 0.004997832590094857, 0.004906906518507239, 0.0049176815825110335]"
can you go fetch,63,2500,name,25,"[0.008003449509780375, 0.0086921885528994, 0.008373470069990206, 0.008263871706681785, 0.007718864914672536, 0.0071577738257515835, 0.0065204552237662, 0.006697799806626186, 0.006856673292060205, 0.006435647300157259, 0.005898714290999734, 0.005797411414967355, 0.005707642959930026]"
can you go fetch,63,2500,name,26,"[0.008823155057694765, 0.009292087589317892, 0.008022429992936508, 0.007804408391261173, 0.007098476435399809, 0.0064848707162477185, 0.006031405315378346, 0.006386203490084521, 0.0066927869144084015, 0.0056972381689080155, 0.00511271746585334, 0.005039032517978044, 0.004779645870368003]"
can you go fetch,63,2500,name,25,"[0.00721276805492141, 0.007718144520174386, 0.006771831401216226, 0.006834705494733255, 0.0061560741100841355, 0.005444020976885193, 0.004964666407317386, 0.005410920526903808, 0.006007380993706042, 0.005548274066865268, 0.0046535292903073745, 0.0046231917439629, 0.004712197887203857]"
can you go fetch,63,2500,name,23,"[0.006842645431514829, 0.008007269084242352, 0.008618650627352975, 0.00889780103792747, 0.007787394382735204, 0.006785788104298896, 0.006228099218628308, 0.006452210447099248, 0.007072242553751976, 0.006031429304166413, 0.0060166086602374495, 0.005788871726788489, 0.006201780099625462, 0.006253151173439481]"
can you go fetch,63,2500,name,29,"[0.006813785404266978, 0.006221098207330283, 0.00600627491759212, 0.0059078588205702795, 0.00542219794691725, 0.004990147868791522, 0.005030957489791269, 0.005430525521842165, 0.005493191132049087, 0.00474194018915015, 0.004836649866569817, 0.004847127615712405]"
can you go fetch,63,2500,name,21,"[0.010713020469078793, 0.011976760224879389, 0.012282909587235578, 0.010764941640170625, 0.009548709621351232, 0.008481941190253613, 0.007994593269907984, 0.008221808715525173, 0.008849191843951089, 0.008385485510454023, 0.008433847263283693, 0.007576236650325936, 0.007448366316686132, 0.007238211429585341]"
can you go fetch,63,2500,name,18,"[0.010315131541934764, 0.011948981614381923, 0.012750777831941097, 0.01298911627019033, 0.010907153408984481, 0.009144264781683195, 0.00799235153082691, 0.00790449188960438, 0.007820387125939576, 0.0070581059511770385, 0.008074050883449353, 0.008609707132813053, 0.008144941631718675, 0.007346191881570356, 0.005906004700948218]"
can you go fetch,63,2500,name,34,"[0.007329527391150564, 0.00720341255934974, 0.007025750982888109, 0.0070962900282464155, 0.006874348599532508, 0.006660208180817148, 0.006288142995128883, 0.0056561572760367345, 0.00552632183414881, 0.005035576576290578]"
can you go fetch,63,2500,name,31,"[0.008799356873102689, 0.008709276568253637, 0.008468999158250045, 0.00823130998899956, 0.007689739109724853, 0.007615362282476365, 0.00755681291884865, 0.007438268347177733, 0.006043759352880386, 0.005332181506386227, 0.005180287038587782]"
can you go fetch,63,2500,name,37,"[0.007220576566618434, 0.007596025984422542, 0.007693769904999023, 0.008167134522416164, 0.008046436389952555, 0.007445916078174883, 0.006403331577473645, 0.006368841735735534, 0.0061811231365693055]"
can you go fetch,63,2500,name,20,"[0.010141027299775816, 0.011322618601723459, 0.011884826415875049, 0.011085158346923038, 0.00957510390693415, 0.008338003865809351, 0.0072954506404940365, 0.007394628150991492, 0.007796011433377529, 0.006938612304400152, 0.007711374683237485, 0.006742652875376393, 0.006624041762617383, 0.0066174657841267, 0.004719469221805925]"
can you go fetch,63,2500,name,21,"[0.008475400212199904, 0.00966835756530173, 0.010393161051934113, 0.009226261111207971, 0.008180002668574908, 0.007052002473986032, 0.006553023588540554, 0.006686395292368641, 0.006843842750359758, 0.006233499573796121, 0.006242824513256711, 0.005762531494137159, 0.005536169119623735, 0.005320482585165307]"
can you go fetch,63,2500,sit,13,"[0.006727097999227353, 0.009541859275910704, 0.011257039073995974, 0.011743934217085767, 0.011089368171104478, 0.010531286888805865, 0.009230104555190636, 0.008314033316210112, 0.007598041489973369, 0.005685409160384723, 0.0071275523133572955, 0.007593018355912777, 0.007987985284105343, 0.007373252530555916, 0.004563962431005666, 0.0035089116848101265, 0.0027147097875234514]"
can you go fetch,63,2500,sit,13,"[0.005287481954509817, 0.007613970557708465, 0.009331032476017725, 0.009737287652699895, 0.009110035065372139, 0.008579769130641334, 0.007788260362972836, 0.006772812688355851, 0.00636767756920894, 0.0049198009519217, 0.005746214366833151, 0.007193247484796468, 0.00807937321111584, 0.00756187208166865, 0.0051369214085109, 0.004473708636268477, 0.003343658615598565]"
can you go fetch,63,2500,sit,13,"[0.004926808215685115, 0.006908424501333533, 0.008667840190347186, 0.008808754624710044, 0.00812612185025707, 0.007630561342619746, 0.00724621935249893, 0.006279889776945922, 0.0057689666291716925, 0.004656792490500426, 0.005269449417450675, 0.006508849019698995, 0.007161413053889147, 0.0065987694908345145, 0.004388431529993157, 0.003847334971857976, 0.002850797490600444]"
can you go fetch,63,2500,sit,13,"[0.004704232185082518, 0.006552587119944591, 0.008214542003656785, 0.00834135113659957, 0.007788577137672025, 0.007426487210276406, 0.00706807444632026, 0.00645156297459365, 0.005529744861434504, 0.004175298893790309, 0.004580751429484809, 0.00599254794726938, 0.007187777693090045, 0.006795313138065097, 0.003857112147158136, 0.003417632732184005, 0.002581638156233237]"
can you go fetch,63,2500,sit,15,"[0.005570628429836267, 0.008017503537767971, 0.008894228871653816, 0.00923589031173543, 0.008879860953964461, 0.008451780884257975, 0.007369948794119415, 0.006847572712503606, 0.00662373259816611, 0.004636579873650067, 0.0061413672218236974, 0.007556630844251148, 0.007933420160328742, 0.006803025253964301, 0.004744237760672462, 0.003738674197435506]"
can you go fetch,63,2500,sit,15,"[0.006847195644304634, 0.009026426181300399, 0.009361150113587395, 0.0097191259088193, 0.009611758676400873, 0.008812226059677216, 0.007707719313645219, 0.007309708875018213, 0.006943678300323312, 0.005825860995043193, 0.0067032216841271695, 0.007868122578833462, 0.008144105913778565, 0.006754707134339595, 0.004671693076615431, 0.0036396429403191062]"
can you go fetch,63,2500,sit,15,"[0.005568951698979544, 0.007290570283897046, 0.007748917427462499, 0.007580389467854613, 0.00734471328629942, 0.007282916876284825, 0.006695901193982715, 0.006019932860174826, 0.005753570870215859, 0.005111051727380023, 0.005694082013930909, 0.0070948505286934005, 0.006744172626402981, 0.005834920544694525, 0.00502385404387072, 0.004632541285628892]"
can you go fetch,63,2500,sit,13,"[0.0047815772149933594, 0.006067580389155387, 0.007521057872938847, 0.007311756452853992, 0.007157075676159705, 0.007304715824430144, 0.007198412069467099, 0.0065416821954659655, 0.0057784442118221134, 0.004989552397859967, 0.0055375637416320055, 0.0066212467749492835, 0.007194315205486169, 0.006306414466318385, 0.004198241233414202, 0.003438435150614914, 0.002316689510591095]"
can you go fetch,63,2500,sit,13,"[0.005603053239656084, 0.008210326374621026, 0.009512165963807832, 0.009737908833204821, 0.008846866690937906, 0.008453695257948313, 0.007560883826979298, 0.006982876704631824, 0.006969502468827975, 0.004871992370035951, 0.006155878664824532, 0.007085260629409464, 0.00833904828545351, 0.007860450029211711, 0.004694990267359982, 0.0038091320970200858, 0.003249655840818655]"
can you go fetch,63,2500,sit,17,"[0.005372357415877902, 0.006628426144654143, 0.007554471211947685, 0.008039860651784428, 0.0078089577726757455, 0.007566279259515607, 0.006427519970536914, 0.005957680105579266, 0.005778890449307363, 0.004226520061943994, 0.006178581445908584, 0.007209663969045869, 0.00697149800173301, 0.006378753970543285, 0.004711558742228692, 0.0034945655697991443]"
can you go fetch,63,2500,sit,15,"[0.004631117049888637, 0.006669859452616463, 0.007466478261694846, 0.0077662843735120226, 0.007184598778156085, 0.007442306556041389, 0.006308489885613633, 0.005587724728214598, 0.004995933124752346, 0.0033918728362056596, 0.004517744931724199, 0.006236913024327255, 0.006918963413982486, 0.0052461812394792385, 0.004083492985939715, 0.003524079666838842]"
can you go fetch,63,2500,sit,13,"[0.005362898296872621, 0.007560319963996544, 0.009278169578160834, 0.009151513867785259, 0.008542790117764317, 0.008402435203793015, 0.007958114263587019, 0.006869406708554793, 0.0060420870426146295, 0.0054261602518399935, 0.005797536836037509, 0.007068108773874648, 0.007981786334593195, 0.007183325411502752, 0.005146502118865222, 0.00453004436752184, 0.00337727200521271]"
can you go fetch,63,2500,sit,15,"[0.004738338175330962, 0.007029590694729367, 0.008157837167429934, 0.008436961565700377, 0.00769681615854448, 0.007189163933522258, 0.006458004065495874, 0.00595488614036147, 0.00554998083675932, 0.004010502418955038, 0.005204427346424678, 0.006541627982213483, 0.006788976360529527, 0.005801581525197053, 0.0039651411910186325, 0.003171936921132046]"
can you go fetch,63,2500,sit,13,"[0.005710213256495588, 0.00831316042107422, 0.009883034783967758, 0.01044704704833402, 0.009624473718850595, 0.008909660159568494, 0.008127250747430443, 0.007706134800055681, 0.007182809307054672, 0.005250407289775301, 0.006173224694723, 0.006842784467877352, 0.00782168321016602, 0.007544807414106936, 0.00499202066252713, 0.004109763627720057, 0.0032096315013828533]"
can you go fetch,63,2500,sit,13,"[0.0047859947005541685, 0.007015610509040102, 0.008568002428552055, 0.00877432995491434, 0.008071334036745937, 0.0075280031386117646, 0.00666533654509962, 0.005780156251543314, 0.005283636388853144, 0.0038498249301882957, 0.004564499705939029, 0.0055699697171009335, 0.006571705303429154, 0.006096801688975853, 0.003944306687485129, 0.003598079627340455, 0.0027742730016165553]"
